# Engine-provided script globals, derived from the game's own Lua bytecode
# scripts scanned: 552   globals SET by scripts: 554
# A global listed here is indexed as a table by some script but is never SETGLOBAL'd by
# ANY script -> the engine must provide it. 'catalog' = how many of its method names the
# Ghidra native catalog also knows as bound natives (independent EXE-side evidence).
#
# status	class	methods_used	catalog_hits	sample_methods
reject	BehaviourDogSittingBase	3	0	CreateSubClass,IsStillRunnable,PrepareToRun
reject	BehaviourGamesMasterSeatedBase	3	0	CreateSubClass,FastExit,PrepareToRun
reject	BehaviourGivePlayerReward	3	0	DoYouWantToReward,FollowAndGiveReward,GiveReward
reject	BehaviourOpinionReaction	3	0	CreateSubClass,DoYouWantToReact,GetReaction
reject	BehaviourReactToDeed	3	0	AdjustHeroTitleUnlocking,DoYouWantToReactToDeed,PerformDeedReaction
ACCEPT	Bob	3	3	IsCloseToDesiredAltitude,SetDesiredAltitude,SetMoveEntityType
ACCEPT	BuildingSaleSign	3	3	GetBuilding,GetECType,IsAvailable
ACCEPT	Decapitatable	3	3	Decapitate,IsAvailable,SetDecapitatable
ACCEPT	DogLeadTo	3	3	IsAvailable,SetActive,SetDogLeadingTo
ACCEPT	ExperienceReward	3	3	DestroyFarthestOrb,SetToGenerateExperience,SpawnExperienceOrbs
ACCEPT	GDB	3	3	GetRecord,RecordExists,RecordExistsInGlobalDatabase
known	GameVersion	3	0	IsDLCDownloaded,IsDLCPremium,IsHenchmanDLCPremium
ACCEPT	GraphicAppearanceDLC	3	3	GetECType,SwapToSummer,SwapToWinter
ACCEPT	GraphicAppearanceMorph	3	3	SetCharacterRecord,SetRealTimeTextureMorphing,UpdateTextureMorphs
reject	HobbeCombatGroupMind	3	0	FleeLossPeriod,FleeLossThreshold,ReinforcementThreshold
reject	InChaos	3	2	DeActivate,HasEntityActiveChaosToken,IsAvailable
ACCEPT	Light	3	3	IsActive,IsAvailable,SetAsActive
ACCEPT	LightningTrap	3	3	IsAutoZapping,IsAvailable,SetAsAutoZapping
reject	LookingForCommotionConversationGroupMind	3	0	DISTANCE_BETWEEN_MEMBERS_THRESHOLD,MAX_DIST_TO_JOIN_CONVERSATION,States
reject	LookingForConversationGroupMind	3	0	CreateSubClass,DISTANCE_BETWEEN_MEMBERS_THRESHOLD,States
ACCEPT	Mentalist	3	3	IsAvailable,IsLit,LightFuse
ACCEPT	NPCVaulting	3	3	GetCanVault,IsAvailable,SetCanVault
ACCEPT	ParticleEmitter	3	3	AttachToEntity,KillParticle,SetVolumeEmitterEntity
ACCEPT	Shoveable	3	3	IsAvailable,RemoveAsNotShoveable,SetAsNotShoveable
ACCEPT	SubgameController	3	3	GetIsSubgameActive,IsAvailable,StopSubgame
ACCEPT	Summoner	3	3	GetChildCount,GetMySummoner,IsAvailable
reject	TagGroupMind	3	0	MAX_NUMBER_OF_PLAYERS,MIN_TIME_BEFORE_TAGGER_CAN_TAG,States
reject	VillagerDanceGroupMind	3	0	AllCanDance,MAX_DANCERS,UpdateWorshipPositions
ACCEPT	Wisp	3	3	IsMoving,SetDestination,SetSpeed
reject	AIManagerCFunctions	2	2	IsEntityToCallFunction,SetupUpdateZones
reject	Augmentable	2	2	AddAugmentationOfType,IsAvailable
reject	BarGroupMind	2	0	New,States
reject	BehaviourBarMaidChat	2	0	Anim,AnimationControl
reject	BehaviourBarmanJobSeatedBase	2	0	CreateSubClass,PrepareToRun
reject	BehaviourBarmanJobStandingBase	2	0	CreateSubClass,PrepareToRun
reject	BehaviourDogPerformTrick	2	0	CreateSubClass,IsStillRunnable
reject	BehaviourDrunkBase	2	0	CreateSubClass,EntryDrunkState
reject	BehaviourHintAboutReward	2	0	DoYouWantToHint,HintToPlayerAboutReward
reject	BehaviourHomeBase	2	0	CreateSubClass,FastExit
reject	BehaviourHouseOpinion	2	0	MakeCommentAboutHouse,WantToCommentAboutHouse
reject	BehaviourLoveHero	2	0	DoYouLoveHero,MakeSuggestion
reject	BehaviourMoveAwayFromCutscene	2	0	AddAreaToAvoid,RemoveAreaToAvoid
reject	BehaviourReactToAbuse	2	0	CreateSubClass,ReactToAbuse
reject	BehaviourThugBase	2	0	CreateSubClass,PrepareToRun
reject	BehaviourTrollChaos	2	0	AnimInfo,AnimInfoNumItems
reject	BonusContainer	2	2	ApplyBonusesToHero,IsAvailable
reject	Carried	2	2	GetCarrierEntity,IsAvailable
reject	DeadRiser	2	2	GetCastingEntity,IsAvailable
reject	DogTrigger	2	2	GetDogAnimationName,GetTrigger
reject	EconomyManager	2	2	AdjustVillageWealth,SetVillageWealth
reject	Fire	2	2	SetEntityBurnDuration,SetEntityBurning
reject	GenericTrigger	2	0	CheckTrigger,TriggerEntities
reject	GenericTriggers	2	0	TriggerEntity,new
reject	KnotholeIslandSeasonManager	2	2	SetToSummer,SetToWinter
reject	KnotholeIslandShop	2	2	GetECType,SetOpen
reject	LarpGroupMind	2	0	MAX_PLAYERS,States
reject	Logging	2	2	LogAIBehaviourEvent,LogEvent
reject	MonkGroupMind	2	0	MAX_DAY_WORSHIP,MAX_NIGHT_WORSHIP
reject	NonCombatCreatureRadius	2	2	GetPatrolRadius,GetRegroupPoint
reject	OwnedEntity	2	2	GetOwner,IsAvailable
reject	PairedGroupMind	2	0	CreateSubClass,States
reject	ParticleAttacher	2	2	AttachParticles,DetachParticles
reject	PhysicsFilterManager	2	2	AddFilterObject,ClearFilterObjects
known	Platform	2	0	Win32,Xbox360
reject	QC130_TheCampInitiation	2	0	QC130_Comm,QC130_Hammer
reject	QR_ArchaeologyGlobal	2	0	CalculateReward,new
reject	QR_CommunityService	2	0	PickQuestData,new
reject	Readable	2	2	GetNumTextTags,GetTextTag
reject	SalesAndShortages	2	2	ActivateSaleOrShortage,SetSalesAndShortagesAndIncomeIconAcitve
reject	SleepMenu	2	2	IsVisible,ShowSleepMenu
reject	SpatialAwareness	2	2	IsAvailable,IsConfinedBy
reject	Spinner	2	2	IsSpinning,Spin
reject	Sprinting	2	2	IsAvailable,IsSprinting
reject	Switch	2	2	IsAvailable,Use
reject	Text	2	2	FormatTextTagHash,IsTagValid
reject	TrollWeakSpot	2	2	GetTroll,IsAvailable
reject	UpgradeableFurniture	2	2	GetCurrentLevel,IsAvailable
reject	VillageMember	2	2	GetVillage,IsAvailable
reject	VillagerList	2	2	GetVillagerList,IsAvailable
reject	Whereabouts	2	2	GetBuildingWeAreInsideOf,IsAvailable
reject	ActivityCompletedFeat	1	0	new
reject	AmbientCreature	1	1	SetStuckFrameCount
reject	AssassinationTargetPicker	1	0	new
reject	BarConversationGroupMind	1	0	States
reject	BarStaffConversationGroupMind	1	0	States
reject	BardGroupMind	1	0	CrowdLimit
reject	BasicOwnershipQuests	1	0	new
reject	BehaviourAnnounceHeroTitle	1	0	PlayRingBellAnim
reject	BehaviourAvoidCombat	1	0	AvoidDistance
reject	BehaviourAvoidSex	1	0	FleeTypes
reject	BehaviourCampBase	1	0	CreateSubClass
reject	BehaviourCelebrateTalk	1	0	CreateSubClass
reject	BehaviourChildMiniExpression	1	0	FillExpressionTable
reject	BehaviourCombatRegroup	1	0	CreateSubClass
reject	BehaviourCommotionChat	1	0	CreateSubClass
reject	BehaviourCultistBase	1	0	CreateSubClass
reject	BehaviourCutsceneSpeakerBase	1	0	CreateSubClass
reject	BehaviourDogFollow	1	0	FollowDistanceBuffer
reject	BehaviourEvicted	1	0	CreateSubClass
reject	BehaviourFarmBase	1	0	CreateSubClass
reject	BehaviourFlirt	1	0	CreateSubClass
reject	BehaviourFollowHeroParent	1	0	MakeSuggestionToParent
reject	BehaviourGuardBase	1	0	CreateSubClass
reject	BehaviourHerosChildComment	1	0	CreateSubClass
reject	BehaviourHomeAskHeroToLeave	1	0	CreateSubClass
reject	BehaviourInteractWithCot	1	0	CreateSubClass
reject	BehaviourMonkBase	1	0	CreateSubClass
reject	BehaviourRunAway	1	0	DoYouWantToRunAwayFromHero
reject	BehaviourScriptControlRetreat	1	0	TargetCheckInterval
reject	BehaviourSleepAtHome	1	0	TalkInSleep
reject	BehaviourSpouseCatchBigamist	1	0	CanCatchBigamist
reject	BehaviourSpouseComment	1	0	GetLineAboutChild
reject	BehaviourTestLocomotion	1	0	Markers
reject	BehaviourTestSpeechAction	1	0	ReadSpeechLines
reject	BehaviourTrollRise	1	0	RangeWithinPosToRise
reject	BenchGroupMind	1	0	UsableDistanceSquared
reject	Climbable	1	1	GetEntityFromField
reject	CombatDemoThread	1	0	new
reject	CommotionConversationGroupMind	1	0	States
reject	ConversationPoint	1	1	GetRange
reject	Crescendo	1	1	IsAvailable
reject	CumulativeStatFeat	1	0	new
reject	CustomUpperBodyPose	1	1	SetAsInjured
reject	CutsceneGroupMind	1	0	States
reject	DLC2_DrunkOnOff	1	0	new
reject	DecalManager	1	1	AddDecal
reject	DieWhenLost	1	1	TurnOn
reject	DiveSpot	1	1	SetAsActive
reject	DuelingGroupMind	1	0	States
reject	E3Demo2008	1	0	new
reject	E3DemoScript	1	0	new
reject	E3DemoScript_TimeOfDay	1	0	new
reject	Electrify	1	1	IsEntityElectrifyOn
reject	EnterRegionFeat	1	0	new
reject	EntityManager	1	1	GetEntityFromRecordID
reject	EntityModeBanditBodge	1	0	new
reject	EntityModeBipedStrafe	1	0	new
reject	EntityModeChatSitting	1	0	new
reject	EntityModeDogExcited	1	0	new
reject	EntityModeDogLying	1	0	new
reject	EntityModeDogSitAndReact	1	0	new
reject	EntityModeDogSitting	1	0	new
reject	EntityModeKneeling	1	0	new
reject	Eyes	1	1	SetEnabled
reject	FamilyDivorceGroupMind	1	0	States
reject	FillUrn	1	1	IsAvailable
reject	FindItemFeat	1	0	new
reject	FollowGroupMind	1	0	States
reject	GDC2008Demo	1	0	new
reject	GDC2008Demo_GUI	1	0	new
reject	GameflowBase	1	0	new
reject	GameflowDayChecker	1	0	new
reject	GameflowJobChecker	1	0	new
reject	GameflowQuestUnlocker	1	0	new
reject	GeneralManager	1	0	new
reject	GraphEdgeController	1	1	SetLocked
reject	GuardConversationGroupMind	1	0	States
reject	GuardGroupMind	1	0	States
reject	HenchmanManager	1	0	new
reject	HeroPossessionFeat	1	0	new
reject	HitResponsePlayAction	1	1	OverrideHitResponse
reject	HomeGroupMind	1	0	States
reject	KillEntityFeat	1	0	new
reject	LevelConnection	1	1	GetTravelTimeBetweenLevels
reject	LinkedAnimation	1	1	LinkToEntity
reject	LookAt	1	1	LoadLookAtHandle
reject	LuciensGuardGroupMind	1	0	States
reject	MyFirstQuest	1	0	QuestOver
reject	Object	1	1	IsObjectOfType
reject	ParentChildInteractionPairedGroupMind	1	0	States
reject	PlayerAbility	1	1	SetAbilityRecord
reject	PlayerWebsiteUnlocks	1	1	IsItemUnlocked
reject	Projectile	1	1	GetLastHitFrame
reject	Q0130_BardBridgeLTTimer	1	0	new
reject	QC000_TestCutscene	1	0	new
reject	QC010_CaravanEffects	1	0	new
reject	QC010_CrowdMemberManager	1	0	new
reject	QC010_GenericEventManager	1	0	new
reject	QC010_PackRatThread	1	0	new
reject	QC030_ShootTutorialThread	1	0	new
reject	QC040_Dog	1	0	new
reject	QC045_BreadcrumbThread	1	0	new
reject	QC045_GiveLetterEarlyThread	1	0	new
reject	QC050_AButtonPressedThread	1	0	new
reject	QC050_DogBarkingThread	1	0	new
reject	QC055_AButtonPressedThread	1	0	new
reject	QC055_GotBottleThread	1	0	new
reject	QC060_CampKillerThread	1	0	new
reject	QC060_HelpHeroCastSpellThread	1	0	new
reject	QC060_HeroPowerUpThread	1	0	new
reject	QC060_InnyOutyTriggerThread	1	0	new
reject	QC070_FadeDoorOut	1	0	new
reject	QC070_XPCheckThread	1	0	new
reject	QC075_BardExpressionChecker	1	0	new
reject	QC075_BardJobSign	1	0	new
reject	QC075_DayWait	1	0	new
reject	QC075_HeroSafetyIcon	1	0	new
reject	QC075_HeroWait	1	0	new
reject	QC075_JobSign	1	0	new
reject	QC080_RenownCommentsThread	1	0	new
reject	QC085_ThunderAndLightning	1	0	new
reject	QC090_CommandantAttackManager	1	0	new
reject	QC110_RoadToWestcliff	1	0	QC110_Hammer
reject	QC120_MentalistThread	1	0	new
reject	QC120_OutroExpressionThread	1	0	new
reject	QC120_PointsThread	1	0	new
reject	QC130_ChainedPrisonerLookAt	1	0	new
reject	QC130_SpawnExperienceOrbs	1	0	new
reject	QC130_StarvePrisonersMoralityTimer	1	0	new
reject	QC140_SpawnExperienceOrbs	1	0	new
reject	QC140_TeleportHero	1	0	new
reject	QC140_WillLines	1	0	new
reject	QC160_BanditGenerator	1	0	new
reject	QC160_Crescendo	1	0	new
reject	QC160_CullisGateTimer	1	0	new
reject	QC160_Dog	1	0	new
reject	QC160_Family	1	0	new
reject	QC160_GarthGotoMarker	1	0	new
reject	QC160_HasTriggerFired	1	0	new
reject	QC160_HobbeGenerator	1	0	new
reject	QC160_Timer	1	0	new
reject	QC160_Trail	1	0	new
reject	QC180_ProgressComments	1	0	new
reject	QC180_Pulse	1	0	new
reject	QC180_RenownChecker	1	0	new
reject	QC180_ThePirateKing	1	0	QC180_ThePirateKing
reject	QC200_BreadcrumbThread	1	0	new
reject	QC200_FadeRocksIn	1	0	new
reject	QC200_HenchmanThread	1	0	new
reject	QC200_KeepFollowersOut	1	0	new
reject	QC200_ShardFightLookAtThread	1	0	new
reject	QC200_ShardFightThread	1	0	new
reject	QC200_ShardHealthBarThread	1	0	new
reject	QC200_SpawnEffectThread	1	0	new
reject	QC220_GarthCylinder	1	0	new
reject	QC220_HammerCylinder	1	0	new
reject	QC220_ReaverCylinder	1	0	new
reject	QC220_ShotRumble	1	0	new
reject	QC230_TimeOfDayThread	1	0	new
reject	QC240_Family	1	0	new
reject	QC240_MusicBox	1	0	new
reject	QC240_TheresaOutroCam	1	0	new
reject	QD010_AButtonPressedThread	1	0	new
reject	QD010_BookCollectingThread	1	0	new
reject	QD010_BreadcrumbTrailThread	1	0	new
reject	QD010_EndChoiceThread	1	0	new
reject	QD010_HeatHaze	1	0	new
reject	QD010_HenchmanThread	1	0	new
reject	QD010_KnotholeFastTravelThread	1	0	new
reject	QD050_AcceptMessageChecker	1	0	new
reject	QD050_CaravanEffects	1	0	new
reject	QD050_CaravanMusic	1	0	new
reject	QD050_DLC2AchievementThread	1	0	new
reject	QD050_HenchmanThread	1	0	new
reject	QD050_MurgoHolding	1	0	QD050_MurgoHolding
reject	QD060_BreadcrumbHackThread	1	0	new
reject	QD060_CheckPlayerLocationThread	1	0	new
reject	QD060_ChildHideNSeekCounterThread	1	0	new
reject	QD060_ColouriseMiscShadowsThread	1	0	new
reject	QD060_ColouriseSCDoorThread	1	0	new
reject	QD060_ColouriseWeaponsThread	1	0	new
reject	QD060_ShadowExperienceThread	1	0	new
reject	QD060_WatchOutForHeroDeathThread	1	0	new
reject	QD060_XPHackThread	1	0	new
reject	QFP_DogThread	1	0	new
reject	QO050_HobbesOnTheFarmThread	1	0	new
reject	QO130_IntroToBard	1	0	QO130_BardEntity
reject	QO150_MoneyCounter	1	0	new
reject	QO170_KeepScriptAliveThread	1	0	new
reject	QO170_TreasureCounterThread	1	0	new
reject	QO240_AlexSaveFromDeathThread	1	0	new
reject	QO240_KeepScriptAliveThread	1	0	new
reject	QO240_KeepUpdatingBready	1	0	new
reject	QO270_Crescendo	1	0	new
reject	QO270_Reminder	1	0	new
reject	QO270_Timer	1	0	new
reject	QO330_IsPlayerDressedAsAWoman	1	0	new
reject	QO470_DDLevelExitThread	1	0	new
reject	QO540_ShootingRange	1	0	new
reject	QO570_KeepScriptAliveThread	1	0	new
reject	QO600_Timer	1	0	new
reject	QO630_KeepScriptAliveThread	1	0	new
reject	QO880_LightBallPosition	1	0	new
reject	QO890_ColosseumCandleStand	1	0	new
reject	QO890_ColosseumHighScore	1	0	new
reject	QO890_ColosseumTeddy	1	0	new
reject	QO890_ColosseumTeleporter	1	0	new
reject	QO890_ColosseumTimer	1	0	new
reject	QO890_DeadRisingNameThread	1	0	new
reject	QR_Archaeology	1	0	new
reject	QR_Assassination	1	0	new
reject	QR_AssassinationGeneralThread	1	0	new
reject	QR_AssassinationGlobal	1	0	new
reject	QR_AssassinationThread	1	0	new
reject	QR_BountyHunter	1	0	new
reject	QR_BountyHunterThread	1	0	new
reject	QR_CommunityServiceThread	1	0	new
reject	QR_CreatureHunter	1	0	new
reject	QR_CreatureHunterGlobal	1	0	new
reject	QR_Delivery	1	0	new
reject	QR_Escort	1	0	new
reject	QR_FillingTheArena	1	0	new
reject	QR_FinalTombThread	1	0	new
reject	QR_Gladiator	1	0	new
reject	QR_SlaveChosen	1	0	new
reject	QR_SlaveRelease	1	0	new
reject	QR_SlaveReleaseGeneralThread	1	0	new
reject	QR_SlaveReleaseGlobal	1	0	new
reject	QR_SlaveReleaseQuestGiver	1	0	OnTerminated
reject	QR_SlaveTrader	1	0	new
reject	QR_SlaveTraderGeneralThread	1	0	new
reject	QR_SlaveTraderGlobal	1	0	new
reject	QuestEntityThreadBase	1	0	_NewQuestType
reject	RegionExitChecking	1	0	new
reject	SandboxThread	1	0	new
reject	SlaveReleaseSlaveOne	1	1	IsAlive
reject	SlaveReleaseSlaveThree	1	1	IsAlive
reject	SlaveReleaseSlaveTwo	1	1	IsAlive
reject	StatReachedFeat	1	0	new
reject	StiltWalkerEC	1	1	IsAvailable
reject	ThugGroupMind	1	0	States
reject	TutorialManagerThread	1	0	new
reject	VaultLine	1	1	SetAsActive
reject	VillagerDanceBase	1	0	CreateSubClass
reject	WanderPairedGroupMind	1	0	States
reject	WispSource	1	1	GetAWispCloseToPosition

# ACCEPTED as engine-provided but MISSING from the port's native-name set (121).
# Gate: catalog_hits >= 3 AND >= 0.50 of the methods used.
    "Dog", "OpinionReaction", "Combat", "Camera", "Village", "Villager",
    "PlayerFamily", "Navigation", "GroupEvent", "Creature", "Carrying", "ManagedLocations",
    "VillageCrimeManager", "AmbientPopulationManager", "CreatureGenerator", "Shard", "GraphicAppearance", "LeadHero",
    "SpellManager", "Building", "ExpressionPerformer", "AppearanceModifierManager", "Block", "Door",
    "Health", "NPCRewardGiver", "Action", "Targeting", "FastTravel", "Troll",
    "Chest", "Perception", "Transient", "Trigger", "Banshee", "Brain",
    "CombatTalk", "Experience", "LevelExit", "WeaponSetManager", "Faction", "FlitSwitch",
    "ModeManager", "PlayerProperties", "ScriptControlledTargeting", "Sound", "Targeted", "Shopkeeper",
    "SoundTools", "Talk", "WaveMachine", "Weapon", "Age", "Beetle",
    "CrateStack", "CrescendoMusic", "CutsceneReactions", "DiggingSpot", "Firearm", "HeroStatue",
    "PlayerSpellManager", "SpellAffect", "Viewpoint", "Bed", "BloodAlcohol", "Breakable",
    "CommunityService", "FiringPosition", "GossipEC", "GuildMessages", "Morph", "NavigatorControl",
    "ObjectAttachment", "SpikeTrap", "Swimming", "TriggerVolumeExclusionZone", "ECGenericTrigger", "EnvironmentTheme",
    "FarmCrate", "Gender", "Kynapse", "Mood", "PhysicsCharacter", "AIMovement",
    "Ambush", "Animation", "CameraInterest", "DemonDoor", "ElectricArcManager", "FlameTrap",
    "Hittable", "Mana", "Multiplayer", "OnActionUse", "OwnerEntity", "PlayerControl",
    "PlayerDrunkenness", "PointOfInterest", "ShadowCreature", "Stance", "Vaulting", "Workplace",
    "WorldMapInfo", "Balverine", "Bob", "BuildingSaleSign", "Decapitatable", "DogLeadTo",
    "ExperienceReward", "GDB", "GraphicAppearanceDLC", "GraphicAppearanceMorph", "Light", "LightningTrap",
    "Mentalist", "NPCVaulting", "ParticleEmitter", "Shoveable", "SubgameController", "Summoner",
    "Wisp",

# rejected (349): indexed-but-undefined yet NOT corroborated by the EXE catalog.
# Almost all are script-defined quest/behaviour classes. FLAGGED, left alone.
# QuestManager QZ_CrucibleCommon BehaviourShard BehaviourInChaos DummyObjects EntityModeSwimming CombatGroupMind ConversationGroupMind ExperienceOrb BehaviourBase BehaviourNoticeExpression InteractiveCutsceneGroupMind BehaviourCommotionBase BehaviourRespondToExtortion QuestThreadBase BehaviourCombat BehaviourDogTrackHeroBase BehaviourFireFromCover BehaviourReceiveGift BarmanJobGroupMind BehaviourBarmanJobBase BehaviourCourtHero BehaviourFollow BehaviourHomeSeatedBase BehaviourBarBase BehaviourBeggarSeatedBase BehaviourCelebrateBase BehaviourScriptControlFlee BehaviourShopBase BehaviourVillagerChat EntityModeBipedMovement QO470_TOEFavour BalverinePerch BanditCombatGroupMind BehaviourAllyWithLowHealth BehaviourBarPatronSeatedBase BehaviourBarPatronStandingBase BehaviourBenchSeatedBase BehaviourCampSeatedBase BehaviourCommotionChatBase BehaviourDogLeadHeroBase BehaviourDogLyingDownBase BehaviourDogSittingBase BehaviourGamesMasterSeatedBase BehaviourGivePlayerReward BehaviourOpinionReaction BehaviourReactToDeed HobbeCombatGroupMind InChaos LookingForCommotionConversationGroupMind LookingForConversationGroupMind TagGroupMind VillagerDanceGroupMind AIManagerCFunctions Augmentable BarGroupMind BehaviourBarMaidChat BehaviourBarmanJobSeatedBase BehaviourBarmanJobStandingBase BehaviourDogPerformTrick BehaviourDrunkBase BehaviourHintAboutReward BehaviourHomeBase BehaviourHouseOpinion BehaviourLoveHero BehaviourMoveAwayFromCutscene BehaviourReactToAbuse BehaviourThugBase BehaviourTrollChaos BonusContainer Carried DeadRiser DogTrigger EconomyManager Fire GenericTrigger GenericTriggers KnotholeIslandSeasonManager KnotholeIslandShop LarpGroupMind Logging MonkGroupMind NonCombatCreatureRadius OwnedEntity PairedGroupMind ParticleAttacher PhysicsFilterManager QC130_TheCampInitiation QR_ArchaeologyGlobal QR_CommunityService Readable SalesAndShortages SleepMenu SpatialAwareness Spinner Sprinting Switch Text TrollWeakSpot UpgradeableFurniture VillageMember VillagerList Whereabouts ActivityCompletedFeat AmbientCreature AssassinationTargetPicker BarConversationGroupMind BarStaffConversationGroupMind BardGroupMind BasicOwnershipQuests BehaviourAnnounceHeroTitle BehaviourAvoidCombat BehaviourAvoidSex BehaviourCampBase BehaviourCelebrateTalk BehaviourChildMiniExpression BehaviourCombatRegroup BehaviourCommotionChat BehaviourCultistBase BehaviourCutsceneSpeakerBase BehaviourDogFollow BehaviourEvicted BehaviourFarmBase BehaviourFlirt BehaviourFollowHeroParent BehaviourGuardBase BehaviourHerosChildComment BehaviourHomeAskHeroToLeave BehaviourInteractWithCot BehaviourMonkBase BehaviourRunAway BehaviourScriptControlRetreat BehaviourSleepAtHome BehaviourSpouseCatchBigamist BehaviourSpouseComment BehaviourTestLocomotion BehaviourTestSpeechAction BehaviourTrollRise BenchGroupMind Climbable CombatDemoThread CommotionConversationGroupMind ConversationPoint Crescendo CumulativeStatFeat CustomUpperBodyPose CutsceneGroupMind DLC2_DrunkOnOff DecalManager DieWhenLost DiveSpot DuelingGroupMind E3Demo2008 E3DemoScript E3DemoScript_TimeOfDay Electrify EnterRegionFeat EntityManager EntityModeBanditBodge EntityModeBipedStrafe EntityModeChatSitting EntityModeDogExcited EntityModeDogLying EntityModeDogSitAndReact EntityModeDogSitting EntityModeKneeling Eyes FamilyDivorceGroupMind FillUrn FindItemFeat FollowGroupMind GDC2008Demo GDC2008Demo_GUI GameflowBase GameflowDayChecker GameflowJobChecker GameflowQuestUnlocker GeneralManager GraphEdgeController GuardConversationGroupMind GuardGroupMind HenchmanManager HeroPossessionFeat HitResponsePlayAction HomeGroupMind KillEntityFeat LevelConnection LinkedAnimation LookAt LuciensGuardGroupMind MyFirstQuest Object ParentChildInteractionPairedGroupMind PlayerAbility PlayerWebsiteUnlocks Projectile Q0130_BardBridgeLTTimer QC000_TestCutscene QC010_CaravanEffects QC010_CrowdMemberManager QC010_GenericEventManager QC010_PackRatThread QC030_ShootTutorialThread QC040_Dog QC045_BreadcrumbThread QC045_GiveLetterEarlyThread QC050_AButtonPressedThread QC050_DogBarkingThread QC055_AButtonPressedThread QC055_GotBottleThread QC060_CampKillerThread QC060_HelpHeroCastSpellThread QC060_HeroPowerUpThread QC060_InnyOutyTriggerThread QC070_FadeDoorOut QC070_XPCheckThread QC075_BardExpressionChecker QC075_BardJobSign QC075_DayWait QC075_HeroSafetyIcon QC075_HeroWait QC075_JobSign QC080_RenownCommentsThread QC085_ThunderAndLightning QC090_CommandantAttackManager QC110_RoadToWestcliff QC120_MentalistThread QC120_OutroExpressionThread QC120_PointsThread QC130_ChainedPrisonerLookAt QC130_SpawnExperienceOrbs QC130_StarvePrisonersMoralityTimer QC140_SpawnExperienceOrbs QC140_TeleportHero QC140_WillLines QC160_BanditGenerator QC160_Crescendo QC160_CullisGateTimer QC160_Dog QC160_Family QC160_GarthGotoMarker QC160_HasTriggerFired QC160_HobbeGenerator QC160_Timer QC160_Trail QC180_ProgressComments QC180_Pulse QC180_RenownChecker QC180_ThePirateKing QC200_BreadcrumbThread QC200_FadeRocksIn QC200_HenchmanThread QC200_KeepFollowersOut QC200_ShardFightLookAtThread QC200_ShardFightThread QC200_ShardHealthBarThread QC200_SpawnEffectThread QC220_GarthCylinder QC220_HammerCylinder QC220_ReaverCylinder QC220_ShotRumble QC230_TimeOfDayThread QC240_Family QC240_MusicBox QC240_TheresaOutroCam QD010_AButtonPressedThread QD010_BookCollectingThread QD010_BreadcrumbTrailThread QD010_EndChoiceThread QD010_HeatHaze QD010_HenchmanThread QD010_KnotholeFastTravelThread QD050_AcceptMessageChecker QD050_CaravanEffects QD050_CaravanMusic QD050_DLC2AchievementThread QD050_HenchmanThread QD050_MurgoHolding QD060_BreadcrumbHackThread QD060_CheckPlayerLocationThread QD060_ChildHideNSeekCounterThread QD060_ColouriseMiscShadowsThread QD060_ColouriseSCDoorThread QD060_ColouriseWeaponsThread QD060_ShadowExperienceThread QD060_WatchOutForHeroDeathThread QD060_XPHackThread QFP_DogThread QO050_HobbesOnTheFarmThread QO130_IntroToBard QO150_MoneyCounter QO170_KeepScriptAliveThread QO170_TreasureCounterThread QO240_AlexSaveFromDeathThread QO240_KeepScriptAliveThread QO240_KeepUpdatingBready QO270_Crescendo QO270_Reminder QO270_Timer QO330_IsPlayerDressedAsAWoman QO470_DDLevelExitThread QO540_ShootingRange QO570_KeepScriptAliveThread QO600_Timer QO630_KeepScriptAliveThread QO880_LightBallPosition QO890_ColosseumCandleStand QO890_ColosseumHighScore QO890_ColosseumTeddy QO890_ColosseumTeleporter QO890_ColosseumTimer QO890_DeadRisingNameThread QR_Archaeology QR_Assassination QR_AssassinationGeneralThread QR_AssassinationGlobal QR_AssassinationThread QR_BountyHunter QR_BountyHunterThread QR_CommunityServiceThread QR_CreatureHunter QR_CreatureHunterGlobal QR_Delivery QR_Escort QR_FillingTheArena QR_FinalTombThread QR_Gladiator QR_SlaveChosen QR_SlaveRelease QR_SlaveReleaseGeneralThread QR_SlaveReleaseGlobal QR_SlaveReleaseQuestGiver QR_SlaveTrader QR_SlaveTraderGeneralThread QR_SlaveTraderGlobal QuestEntityThreadBase RegionExitChecking SandboxThread SlaveReleaseSlaveOne SlaveReleaseSlaveThree SlaveReleaseSlaveTwo StatReachedFeat StiltWalkerEC ThugGroupMind TutorialManagerThread VaultLine VillagerDanceBase WanderPairedGroupMind WispSource
